Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,3.0,122.07,0.008192,19.793,22.25,111.46,29.231,38.13,267.88,1.077,15.023,0.016887,vapor
300.0,10.348,437.71,0.0022846,19.574,21.938,100.43,30.063,40.66,262.15,1.0803,15.113,0.017359,vapor
300.0,17.697,781.23,0.00128,19.338,21.603,95.168,30.986,43.779,256.12,1.0833,15.235,0.017941,vapor
300.0,25.045,1159.8,0.00086221,19.08,21.239,91.389,32.03,47.759,249.71,1.0854,15.4,0.018676,vapor
300.0,32.393,1584.1,0.00063127,18.793,20.838,88.246,33.245,53.073,242.83,1.0858,15.623,0.019637,vapor
300.0,39.742,2071.1,0.00048284,18.468,20.387,85.389,34.715,60.63,235.32,1.0834,15.931,0.020956,vapor
300.0,47.09,2650.7,0.00037726,18.086,19.863,82.595,36.596,72.463,226.92,1.0757,16.371,0.022906,vapor
300.0,54.438,3385.3,0.00029539,17.611,19.219,79.628,39.255,94.387,217.08,1.0575,17.048,0.026166,vapor
300.0,61.787,4457.5,0.00022434,16.934,18.32,75.997,43.922,154.23,204.11,1.0125,18.289,0.033238,vapor
300.0,67.131,6102.8,0.00016386,15.935,17.035,71.364,54.908,524.64,185.33,0.90093,20.811,0.055713,vapor
300.0,67.131,15434.0,6.4793e-05,12.036,12.471,56.151,49.288,382.79,245.67,0.27258,53.192,0.080841,liquid
300.0,69.135,15893.0,6.2922e-05,11.873,12.308,55.562,46.895,284.85,272.6,0.23226,55.857,0.079672,liquid
300.0,76.483,16819.0,5.9456e-05,11.527,11.982,54.327,44.178,190.32,325.87,0.16736,61.691,0.081262,liquid
300.0,83.832,17384.0,5.7526e-05,11.308,11.79,53.544,43.023,160.12,360.38,0.1359,65.58,0.083623,liquid
300.0,91.18,17807.0,5.6157e-05,11.138,11.65,52.94,42.332,143.87,387.41,0.1155,68.685,0.085817,liquid
300.0,98.528,18152.0,5.509e-05,10.998,11.541,52.439,41.868,133.32,410.11,0.10064,71.342,0.087814,liquid
300.0,105.88,18446.0,5.4213e-05,10.877,11.451,52.005,41.538,125.76,429.92,0.089087,73.7,0.089644,liquid
300.0,113.23,18703.0,5.3468e-05,10.769,11.375,51.62,41.291,120.01,447.64,0.07974,75.842,0.091338,liquid
300.0,120.57,18933.0,5.2819e-05,10.673,11.309,51.271,41.101,115.45,463.74,0.071959,77.82,0.092918,liquid
300.0,127.92,19141.0,5.2245e-05,10.584,11.252,50.952,40.952,111.73,478.56,0.065342,79.669,0.094404,liquid
300.0,135.27,19332.0,5.1729e-05,10.502,11.202,50.656,40.833,108.62,492.33,0.059621,81.411,0.095811,liquid
300.0,142.62,19508.0,5.1261e-05,10.426,11.157,50.38,40.736,105.97,505.21,0.054609,83.065,0.097149,liquid
300.0,149.97,19673.0,5.0832e-05,10.354,11.116,50.121,40.657,103.69,517.35,0.050169,84.645,0.098427,liquid
300.0,157.32,19827.0,5.0437e-05,10.287,11.08,49.876,40.592,101.69,528.83,0.0462,86.161,0.099653,liquid
300.0,164.66,19972.0,5.007e-05,10.223,11.047,49.643,40.538,99.917,539.75,0.042622,87.621,0.10083,liquid
300.0,172.01,20110.0,4.9727e-05,10.162,11.017,49.421,40.494,98.34,550.17,0.039376,89.033,0.10197,liquid
300.0,179.36,20240.0,4.9406e-05,10.104,10.99,49.209,40.457,96.922,560.14,0.036413,90.401,0.10307,liquid
300.0,186.71,20365.0,4.9104e-05,10.049,10.965,49.006,40.427,95.638,569.72,0.033693,91.73,0.10414,liquid
300.0,194.06,20484.0,4.8819e-05,9.9953,10.943,48.811,40.402,94.469,578.95,0.031186,93.024,0.10518,liquid
300.0,201.41,20598.0,4.8549e-05,9.9442,10.922,48.622,40.381,93.399,587.85,0.028864,94.286,0.10619,liquid
300.0,208.75,20708.0,4.8292e-05,9.8949,10.903,48.44,40.365,92.414,596.46,0.026706,95.52,0.10717,liquid
300.0,216.1,20813.0,4.8047e-05,9.8474,10.886,48.265,40.352,91.505,604.79,0.024694,96.727,0.10813,liquid
300.0,223.45,20915.0,4.7813e-05,9.8014,10.87,48.094,40.341,90.661,612.89,0.022812,97.91,0.10906,liquid
300.0,230.8,21013.0,4.759e-05,9.7569,10.855,47.929,40.334,89.875,620.75,0.021046,99.07,0.10998,liquid
300.0,238.15,21108.0,4.7376e-05,9.7137,10.842,47.768,40.328,89.142,628.41,0.019385,100.21,0.11088,liquid
300.0,245.49,21200.0,4.717e-05,9.6718,10.83,47.612,40.325,88.455,635.86,0.017819,101.33,0.11176,liquid
300.0,252.84,21289.0,4.6972e-05,9.6311,10.819,47.46,40.323,87.81,643.14,0.01634,102.43,0.11262,liquid
300.0,260.19,21376.0,4.6782e-05,9.5915,10.809,47.312,40.322,87.203,650.25,0.01494,103.52,0.11347,liquid
300.0,267.54,21460.0,4.6598e-05,9.5529,10.8,47.167,40.323,86.63,657.2,0.013612,104.59,0.1143,liquid
300.0,274.89,21542.0,4.6421e-05,9.5153,10.791,47.025,40.325,86.088,664.0,0.01235,105.64,0.11511,liquid
300.0,282.24,21622.0,4.625e-05,9.4786,10.784,46.887,40.328,85.575,670.65,0.011149,106.69,0.11592,liquid
300.0,289.58,21699.0,4.6084e-05,9.4428,10.777,46.752,40.332,85.088,677.18,0.010005,107.71,0.11671,liquid
300.0,296.93,21775.0,4.5923e-05,9.4078,10.771,46.62,40.337,84.626,683.58,0.0089132,108.73,0.11749,liquid
300.0,304.28,21849.0,4.5768e-05,9.3736,10.766,46.49,40.342,84.185,689.86,0.0078697,109.73,0.11826,liquid
300.0,311.63,21922.0,4.5617e-05,9.3401,10.762,46.363,40.349,83.765,696.02,0.0068712,110.73,0.11901,liquid
300.0,318.98,21993.0,4.547e-05,9.3073,10.758,46.238,40.356,83.364,702.08,0.0059147,111.71,0.11976,liquid
300.0,326.33,22062.0,4.5327e-05,9.2753,10.754,46.116,40.363,82.98,708.04,0.0049975,112.68,0.1205,liquid
300.0,333.67,22130.0,4.5188e-05,9.2438,10.752,45.996,40.371,82.613,713.9,0.0041171,113.64,0.12122,liquid
300.0,341.02,22196.0,4.5053e-05,9.213,10.749,45.878,40.379,82.261,719.66,0.003271,114.6,0.12194,liquid
300.0,348.37,22261.0,4.4922e-05,9.1827,10.748,45.762,40.388,81.924,725.34,0.0024572,115.54,0.12265,liquid
300.0,355.72,22325.0,4.4794e-05,9.153,10.746,45.648,40.397,81.6,730.93,0.0016739,116.48,0.12335,liquid
300.0,363.07,22387.0,4.4668e-05,9.1239,10.746,45.536,40.406,81.288,736.44,0.00091915,117.41,0.12404,liquid
300.0,370.42,22449.0,4.4546e-05,9.0953,10.745,45.426,40.416,80.989,741.87,0.00019142,118.33,0.12473,liquid
300.0,377.76,22509.0,4.4427e-05,9.0671,10.745,45.317,40.426,80.7,747.22,-0.00051083,119.24,0.12541,liquid
300.0,385.11,22568.0,4.4311e-05,9.0395,10.746,45.21,40.437,80.422,752.5,-0.001189,120.15,0.12607,liquid
300.0,392.46,22626.0,4.4197e-05,9.0123,10.747,45.105,40.447,80.153,757.71,-0.0018443,121.05,0.12674,liquid
300.0,399.81,22683.0,4.4085e-05,8.9855,10.748,45.001,40.458,79.894,762.85,-0.0024779,121.94,0.12739,liquid
300.0,407.16,22739.0,4.3976e-05,8.9592,10.75,44.898,40.469,79.644,767.93,-0.0030911,122.82,0.12804,liquid
300.0,414.51,22795.0,4.387e-05,8.9333,10.752,44.797,40.48,79.402,772.94,-0.0036847,123.71,0.12869,liquid
300.0,421.86,22849.0,4.3765e-05,8.9078,10.754,44.698,40.492,79.168,777.9,-0.0042598,124.58,0.12932,liquid
300.0,429.2,22903.0,4.3663e-05,8.8826,10.757,44.599,40.503,78.941,782.79,-0.0048172,125.45,0.12996,liquid
300.0,436.55,22955.0,4.3563e-05,8.8579,10.76,44.502,40.515,78.722,787.62,-0.0053578,126.31,0.13058,liquid
300.0,443.9,23007.0,4.3465e-05,8.8335,10.763,44.407,40.527,78.509,792.4,-0.0058824,127.17,0.1312,liquid
300.0,451.25,23058.0,4.3368e-05,8.8094,10.766,44.312,40.539,78.303,797.13,-0.0063917,128.02,0.13182,liquid
300.0,458.6,23109.0,4.3274e-05,8.7857,10.77,44.219,40.551,78.103,801.8,-0.0068863,128.87,0.13242,liquid
300.0,465.95,23158.0,4.3181e-05,8.7623,10.774,44.126,40.564,77.909,806.43,-0.0073669,129.72,0.13303,liquid
300.0,473.29,23207.0,4.309e-05,8.7392,10.779,44.035,40.576,77.72,811.0,-0.0078342,130.55,0.13363,liquid
300.0,480.64,23256.0,4.3e-05,8.7165,10.783,43.945,40.589,77.537,815.53,-0.0082886,131.39,0.13422,liquid
300.0,487.99,23303.0,4.2912e-05,8.694,10.788,43.856,40.601,77.359,820.0,-0.0087308,132.22,0.13481,liquid
300.0,495.34,23350.0,4.2826e-05,8.6718,10.793,43.768,40.614,77.185,824.44,-0.0091612,133.04,0.1354,liquid
300.0,502.69,23397.0,4.2741e-05,8.6499,10.798,43.681,40.627,77.017,828.83,-0.0095803,133.87,0.13598,liquid
300.0,510.04,23442.0,4.2658e-05,8.6283,10.804,43.595,40.64,76.853,833.17,-0.0099886,134.68,0.13656,liquid
300.0,517.38,23488.0,4.2576e-05,8.607,10.81,43.509,40.653,76.693,837.47,-0.010386,135.5,0.13713,liquid
300.0,524.73,23532.0,4.2495e-05,8.5859,10.816,43.425,40.666,76.537,841.74,-0.010774,136.31,0.1377,liquid
300.0,532.08,23576.0,4.2415e-05,8.565,10.822,43.342,40.679,76.386,845.96,-0.011152,137.12,0.13826,liquid
300.0,539.43,23620.0,4.2337e-05,8.5444,10.828,43.259,40.692,76.238,850.14,-0.011521,137.92,0.13882,liquid
300.0,546.78,23663.0,4.226e-05,8.5241,10.835,43.177,40.706,76.094,854.29,-0.011881,138.72,0.13938,liquid
300.0,554.13,23705.0,4.2184e-05,8.504,10.842,43.096,40.719,75.953,858.39,-0.012233,139.52,0.13993,liquid
300.0,561.47,23747.0,4.211e-05,8.4841,10.848,43.016,40.733,75.816,862.46,-0.012576,140.31,0.14048,liquid
300.0,568.82,23789.0,4.2036e-05,8.4644,10.856,42.937,40.746,75.682,866.5,-0.012911,141.1,0.14103,liquid
300.0,576.17,23830.0,4.1964e-05,8.445,10.863,42.858,40.76,75.551,870.5,-0.013238,141.89,0.14157,liquid
300.0,583.52,23871.0,4.1892e-05,8.4257,10.87,42.78,40.773,75.424,874.47,-0.013558,142.67,0.14211,liquid
300.0,590.87,23911.0,4.1822e-05,8.4067,10.878,42.703,40.787,75.299,878.4,-0.013871,143.45,0.14265,liquid
300.0,598.22,23951.0,4.1753e-05,8.3879,10.886,42.626,40.801,75.177,882.3,-0.014177,144.23,0.14318,liquid
300.0,605.56,23990.0,4.1684e-05,8.3692,10.893,42.551,40.815,75.058,886.17,-0.014476,145.01,0.14371,liquid
300.0,612.91,24029.0,4.1617e-05,8.3508,10.902,42.475,40.829,74.941,890.0,-0.014769,145.78,0.14424,liquid
300.0,620.26,24067.0,4.155e-05,8.3326,10.91,42.401,40.842,74.827,893.81,-0.015055,146.55,0.14476,liquid
300.0,627.61,24105.0,4.1485e-05,8.3145,10.918,42.327,40.856,74.715,897.58,-0.015335,147.32,0.14528,liquid
300.0,634.96,24143.0,4.142e-05,8.2966,10.927,42.254,40.87,74.606,901.33,-0.015609,148.08,0.1458,liquid
300.0,642.31,24180.0,4.1356e-05,8.2789,10.935,42.181,40.884,74.499,905.05,-0.015878,148.84,0.14631,liquid
300.0,649.65,24217.0,4.1293e-05,8.2614,10.944,42.109,40.899,74.395,908.73,-0.016141,149.6,0.14683,liquid
300.0,657.0,24254.0,4.123e-05,8.244,10.953,42.038,40.913,74.292,912.39,-0.016399,150.36,0.14733,liquid
300.0,664.35,24290.0,4.1169e-05,8.2268,10.962,41.967,40.927,74.192,916.03,-0.016651,151.12,0.14784,liquid
300.0,671.7,24326.0,4.1108e-05,8.2098,10.971,41.897,40.941,74.094,919.63,-0.016899,151.87,0.14835,liquid
300.0,679.05,24362.0,4.1048e-05,8.1929,10.98,41.827,40.955,73.997,923.21,-0.017141,152.62,0.14885,liquid
300.0,686.4,24397.0,4.0989e-05,8.1762,10.99,41.758,40.97,73.903,926.77,-0.017379,153.37,0.14935,liquid
300.0,693.74,24432.0,4.093e-05,8.1596,10.999,41.689,40.984,73.811,930.29,-0.017612,154.12,0.14984,liquid
300.0,701.09,24466.0,4.0872e-05,8.1432,11.009,41.621,40.998,73.72,933.8,-0.017841,154.86,0.15034,liquid
300.0,708.44,24501.0,4.0815e-05,8.127,11.018,41.553,41.013,73.631,937.27,-0.018066,155.61,0.15083,liquid
300.0,715.79,24535.0,4.0759e-05,8.1108,11.028,41.486,41.027,73.544,940.73,-0.018286,156.35,0.15132,liquid
300.0,723.14,24568.0,4.0703e-05,8.0949,11.038,41.419,41.041,73.458,944.16,-0.018502,157.09,0.15181,liquid
300.0,730.49,24602.0,4.0648e-05,8.079,11.048,41.353,41.056,73.374,947.57,-0.018714,157.83,0.15229,liquid
300.0,737.83,24635.0,4.0593e-05,8.0633,11.058,41.287,41.07,73.292,950.95,-0.018922,158.56,0.15277,liquid
300.0,745.18,24668.0,4.0539e-05,8.0478,11.069,41.222,41.085,73.211,954.31,-0.019126,159.29,0.15325,liquid
300.0,752.53,24700.0,4.0486e-05,8.0323,11.079,41.157,41.099,73.131,957.65,-0.019327,160.03,0.15373,liquid
300.0,759.88,24732.0,4.0433e-05,8.017,11.089,41.093,41.114,73.053,960.96,-0.019524,160.76,0.15421,liquid
300.0,767.23,24764.0,4.0381e-05,8.0019,11.1,41.029,41.129,72.977,964.26,-0.019718,161.49,0.15468,liquid
300.0,774.58,24796.0,4.0329e-05,7.9868,11.111,40.966,41.143,72.902,967.53,-0.019908,162.21,0.15515,liquid
300.0,781.92,24828.0,4.0278e-05,7.9719,11.121,40.903,41.158,72.828,970.79,-0.020095,162.94,0.15562,liquid
300.0,789.27,24859.0,4.0227e-05,7.9571,11.132,40.84,41.173,72.755,974.02,-0.020278,163.66,0.15609,liquid
300.0,796.62,24890.0,4.0177e-05,7.9424,11.143,40.778,41.187,72.684,977.23,-0.020459,164.38,0.15656,liquid
300.0,803.97,24921.0,4.0128e-05,7.9278,11.154,40.716,41.202,72.614,980.42,-0.020636,165.1,0.15702,liquid
300.0,811.32,24951.0,4.0078e-05,7.9134,11.165,40.655,41.217,72.545,983.59,-0.020811,165.82,0.15749,liquid
300.0,818.66,24981.0,4.003e-05,7.899,11.176,40.594,41.232,72.477,986.75,-0.020982,166.54,0.15795,liquid
300.0,826.01,25011.0,3.9982e-05,7.8848,11.187,40.533,41.246,72.411,989.88,-0.021151,167.26,0.15841,liquid
300.0,833.36,25041.0,3.9934e-05,7.8707,11.199,40.473,41.261,72.345,992.99,-0.021317,167.97,0.15886,liquid
300.0,840.71,25071.0,3.9887e-05,7.8567,11.21,40.413,41.276,72.281,996.09,-0.02148,168.69,0.15932,liquid
300.0,848.06,25100.0,3.9841e-05,7.8427,11.221,40.354,41.291,72.218,999.17,-0.02164,169.4,0.15977,liquid
300.0,855.41,25129.0,3.9794e-05,7.8289,11.233,40.295,41.306,72.156,1002.2,-0.021798,170.11,0.16022,liquid
300.0,862.75,25158.0,3.9749e-05,7.8152,11.245,40.236,41.321,72.094,1005.3,-0.021954,170.82,0.16067,liquid
300.0,870.1,25187.0,3.9703e-05,7.8016,11.256,40.177,41.336,72.034,1008.3,-0.022107,171.53,0.16113,liquid
300.0,877.45,25215.0,3.9658e-05,7.7881,11.268,40.119,41.351,71.975,1011.3,-0.022257,172.23,0.16158,liquid
300.0,884.8,25244.0,3.9614e-05,7.7747,11.28,40.062,41.365,71.917,1014.3,-0.022405,172.94,0.16202,liquid
300.0,892.15,25272.0,3.957e-05,7.7614,11.292,40.004,41.38,71.859,1017.3,-0.022551,173.65,0.16247,liquid
300.0,899.5,25300.0,3.9526e-05,7.7482,11.304,39.947,41.395,71.803,1020.2,-0.022695,174.35,0.16291,liquid
300.0,906.84,25327.0,3.9483e-05,7.7351,11.316,39.89,41.41,71.747,1023.2,-0.022836,175.05,0.16336,liquid
300.0,914.19,25355.0,3.944e-05,7.7221,11.328,39.834,41.425,71.693,1026.1,-0.022975,175.75,0.1638,liquid
300.0,921.54,25382.0,3.9397e-05,7.7092,11.34,39.778,41.44,71.639,1029.0,-0.023112,176.45,0.16424,liquid
300.0,928.89,25410.0,3.9355e-05,7.6963,11.352,39.722,41.455,71.586,1031.9,-0.023247,177.15,0.16468,liquid
300.0,936.24,25437.0,3.9314e-05,7.6836,11.364,39.667,41.471,71.533,1034.8,-0.02338,177.85,0.16511,liquid
300.0,943.59,25463.0,3.9272e-05,7.6709,11.377,39.611,41.486,71.482,1037.6,-0.023511,178.55,0.16555,liquid
300.0,950.93,25490.0,3.9231e-05,7.6583,11.389,39.556,41.501,71.431,1040.5,-0.023641,179.24,0.16598,liquid
300.0,958.28,25516.0,3.919e-05,7.6458,11.401,39.502,41.516,71.381,1043.3,-0.023768,179.94,0.16642,liquid
300.0,965.63,25543.0,3.915e-05,7.6334,11.414,39.448,41.531,71.332,1046.1,-0.023893,180.63,0.16685,liquid
300.0,972.98,25569.0,3.911e-05,7.6211,11.426,39.394,41.546,71.284,1048.9,-0.024017,181.32,0.16728,liquid
300.0,980.33,25595.0,3.907e-05,7.6089,11.439,39.34,41.561,71.236,1051.7,-0.024139,182.01,0.16771,liquid
300.0,987.68,25621.0,3.9031e-05,7.5967,11.452,39.286,41.576,71.189,1054.5,-0.024259,182.71,0.16813,liquid
300.0,995.02,25646.0,3.8992e-05,7.5846,11.464,39.233,41.591,71.143,1057.2,-0.024377,183.4,0.16856,liquid
300.0,1002.4,25672.0,3.8953e-05,7.5726,11.477,39.18,41.607,71.097,1060.0,-0.024494,184.08,0.16898,liquid
300.0,1009.7,25697.0,3.8915e-05,7.5607,11.49,39.128,41.622,71.052,1062.7,-0.024609,184.77,0.16941,liquid
300.0,1017.1,25722.0,3.8877e-05,7.5488,11.503,39.075,41.637,71.008,1065.4,-0.024722,185.46,0.16983,liquid
300.0,1024.4,25747.0,3.8839e-05,7.5371,11.516,39.023,41.652,70.964,1068.1,-0.024834,186.15,0.17025,liquid
300.0,1031.8,25772.0,3.8802e-05,7.5254,11.529,38.971,41.667,70.921,1070.8,-0.024944,186.83,0.17067,liquid
300.0,1039.1,25797.0,3.8765e-05,7.5137,11.542,38.92,41.683,70.879,1073.5,-0.025053,187.52,0.17109,liquid
300.0,1046.5,25821.0,3.8728e-05,7.5022,11.555,38.869,41.698,70.837,1076.1,-0.02516,188.2,0.1715,liquid
300.0,1053.8,25846.0,3.8691e-05,7.4907,11.568,38.817,41.713,70.795,1078.8,-0.025266,188.88,0.17192,liquid
300.0,1061.2,25870.0,3.8655e-05,7.4793,11.581,38.767,41.728,70.755,1081.4,-0.02537,189.56,0.17233,liquid
300.0,1068.5,25894.0,3.8619e-05,7.468,11.594,38.716,41.743,70.714,1084.0,-0.025473,190.25,0.17275,liquid
300.0,1075.9,25918.0,3.8583e-05,7.4567,11.608,38.666,41.759,70.675,1086.7,-0.025575,190.93,0.17316,liquid
