Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300.0,3302.4,30278.0,3.3027e-05,5.5745,16.481,28.747,46.204,67.555,1589.7,-0.034702,386.48,0.27326,liquid
300.0,3309.7,30288.0,3.3016e-05,5.5709,16.498,28.723,46.217,67.555,1590.8,-0.034708,387.12,0.27355,liquid
300.0,3317.1,30298.0,3.3006e-05,5.5674,16.516,28.7,46.231,67.555,1592.0,-0.034713,387.77,0.27384,liquid
300.0,3324.4,30307.0,3.2995e-05,5.5638,16.533,28.677,46.244,67.555,1593.1,-0.034719,388.42,0.27413,liquid
300.0,3331.8,30317.0,3.2985e-05,5.5603,16.55,28.653,46.257,67.555,1594.2,-0.034724,389.06,0.27442,liquid
300.0,3339.1,30327.0,3.2974e-05,5.5568,16.567,28.63,46.271,67.555,1595.4,-0.03473,389.71,0.27471,liquid
300.0,3346.5,30336.0,3.2964e-05,5.5533,16.585,28.607,46.284,67.555,1596.5,-0.034735,390.35,0.275,liquid
300.0,3353.8,30346.0,3.2954e-05,5.5498,16.602,28.583,46.298,67.555,1597.7,-0.034741,391.0,0.27529,liquid
300.0,3361.2,30355.0,3.2943e-05,5.5463,16.619,28.56,46.311,67.555,1598.8,-0.034746,391.65,0.27558,liquid
300.0,3368.5,30365.0,3.2933e-05,5.5428,16.636,28.537,46.324,67.555,1599.9,-0.034752,392.29,0.27586,liquid
300.0,3375.9,30374.0,3.2923e-05,5.5394,16.654,28.514,46.338,67.556,1601.1,-0.034757,392.94,0.27615,liquid
300.0,3383.2,30384.0,3.2912e-05,5.5359,16.671,28.491,46.351,67.556,1602.2,-0.034762,393.59,0.27644,liquid
300.0,3390.6,30393.0,3.2902e-05,5.5325,16.688,28.468,46.364,67.556,1603.3,-0.034767,394.23,0.27673,liquid
300.0,3397.9,30403.0,3.2892e-05,5.529,16.705,28.445,46.378,67.556,1604.5,-0.034772,394.88,0.27702,liquid
300.0,3405.3,30412.0,3.2882e-05,5.5256,16.723,28.422,46.391,67.557,1605.6,-0.034778,395.53,0.27731,liquid
300.0,3412.6,30422.0,3.2871e-05,5.5222,16.74,28.399,46.404,67.557,1606.7,-0.034783,396.17,0.27759,liquid
300.0,3420.0,30431.0,3.2861e-05,5.5188,16.757,28.376,46.418,67.557,1607.8,-0.034788,396.82,0.27788,liquid
300.0,3427.3,30440.0,3.2851e-05,5.5154,16.775,28.353,46.431,67.557,1609.0,-0.034793,397.47,0.27817,liquid
300.0,3434.7,30450.0,3.2841e-05,5.512,16.792,28.33,46.444,67.558,1610.1,-0.034797,398.11,0.27846,liquid
300.0,3442.0,30459.0,3.2831e-05,5.5086,16.809,28.307,46.458,67.558,1611.2,-0.034802,398.76,0.27874,liquid
300.0,3449.4,30468.0,3.2821e-05,5.5052,16.826,28.284,46.471,67.559,1612.3,-0.034807,399.41,0.27903,liquid
300.0,3456.7,30478.0,3.2811e-05,5.5018,16.844,28.262,46.484,67.559,1613.4,-0.034812,400.06,0.27932,liquid
300.0,3464.1,30487.0,3.2801e-05,5.4985,16.861,28.239,46.497,67.559,1614.5,-0.034817,400.7,0.27961,liquid
300.0,3471.4,30496.0,3.2791e-05,5.4951,16.878,28.216,46.511,67.56,1615.6,-0.034821,401.35,0.27989,liquid
300.0,3478.8,30506.0,3.2781e-05,5.4918,16.895,28.193,46.524,67.56,1616.7,-0.034826,402.0,0.28018,liquid
300.0,3486.1,30515.0,3.2771e-05,5.4885,16.913,28.171,46.537,67.561,1617.9,-0.03483,402.65,0.28047,liquid
300.0,3493.5,30524.0,3.2761e-05,5.4852,16.93,28.148,46.55,67.561,1619.0,-0.034835,403.3,0.28075,liquid
300.0,3500.8,30533.0,3.2751e-05,5.4818,16.947,28.126,46.564,67.562,1620.1,-0.034839,403.95,0.28104,liquid
300.0,3508.2,30543.0,3.2741e-05,5.4786,16.965,28.103,46.577,67.562,1621.2,-0.034844,404.59,0.28132,liquid
300.0,3515.5,30552.0,3.2731e-05,5.4753,16.982,28.08,46.59,67.563,1622.3,-0.034848,405.24,0.28161,liquid
300.0,3522.9,30561.0,3.2721e-05,5.472,16.999,28.058,46.603,67.563,1623.4,-0.034853,405.89,0.2819,liquid
300.0,3530.2,30570.0,3.2712e-05,5.4687,17.017,28.036,46.616,67.564,1624.5,-0.034857,406.54,0.28218,liquid
300.0,3537.5,30579.0,3.2702e-05,5.4654,17.034,28.013,46.63,67.565,1625.5,-0.034861,407.19,0.28247,liquid
300.0,3544.9,30589.0,3.2692e-05,5.4622,17.051,27.991,46.643,67.565,1626.6,-0.034865,407.84,0.28275,liquid
300.0,3552.2,30598.0,3.2682e-05,5.4589,17.068,27.968,46.656,67.566,1627.7,-0.03487,408.49,0.28304,liquid
300.0,3559.6,30607.0,3.2673e-05,5.4557,17.086,27.946,46.669,67.567,1628.8,-0.034874,409.14,0.28332,liquid
300.0,3566.9,30616.0,3.2663e-05,5.4525,17.103,27.924,46.682,67.567,1629.9,-0.034878,409.79,0.28361,liquid
300.0,3574.3,30625.0,3.2653e-05,5.4493,17.12,27.901,46.695,67.568,1631.0,-0.034882,410.44,0.2839,liquid
300.0,3581.6,30634.0,3.2643e-05,5.4461,17.138,27.879,46.708,67.569,1632.1,-0.034886,411.09,0.28418,liquid
300.0,3589.0,30643.0,3.2634e-05,5.4429,17.155,27.857,46.722,67.57,1633.2,-0.03489,411.74,0.28447,liquid
300.0,3596.3,30652.0,3.2624e-05,5.4397,17.172,27.835,46.735,67.57,1634.2,-0.034894,412.39,0.28475,liquid
300.0,3603.7,30661.0,3.2615e-05,5.4365,17.19,27.813,46.748,67.571,1635.3,-0.034898,413.04,0.28503,liquid
300.0,3611.0,30670.0,3.2605e-05,5.4333,17.207,27.791,46.761,67.572,1636.4,-0.034901,413.69,0.28532,liquid
300.0,3618.4,30679.0,3.2595e-05,5.4301,17.224,27.769,46.774,67.573,1637.5,-0.034905,414.34,0.2856,liquid
300.0,3625.7,30688.0,3.2586e-05,5.427,17.242,27.746,46.787,67.574,1638.5,-0.034909,414.99,0.28589,liquid
300.0,3633.1,30697.0,3.2576e-05,5.4238,17.259,27.724,46.8,67.574,1639.6,-0.034913,415.64,0.28617,liquid
300.0,3640.4,30706.0,3.2567e-05,5.4207,17.276,27.702,46.813,67.575,1640.7,-0.034916,416.29,0.28646,liquid
300.0,3647.8,30715.0,3.2557e-05,5.4176,17.294,27.681,46.826,67.576,1641.8,-0.03492,416.94,0.28674,liquid
300.0,3655.1,30724.0,3.2548e-05,5.4144,17.311,27.659,46.839,67.577,1642.8,-0.034924,417.59,0.28702,liquid
300.0,3662.5,30733.0,3.2538e-05,5.4113,17.328,27.637,46.852,67.578,1643.9,-0.034927,418.24,0.28731,liquid
300.0,3669.8,30742.0,3.2529e-05,5.4082,17.346,27.615,46.865,67.579,1645.0,-0.034931,418.89,0.28759,liquid
300.0,3677.2,30751.0,3.252e-05,5.4051,17.363,27.593,46.878,67.58,1646.0,-0.034934,419.54,0.28788,liquid
300.0,3684.5,30760.0,3.251e-05,5.402,17.38,27.571,46.891,67.581,1647.1,-0.034938,420.19,0.28816,liquid
300.0,3691.9,30768.0,3.2501e-05,5.3989,17.398,27.549,46.904,67.582,1648.1,-0.034941,420.85,0.28844,liquid
300.0,3699.2,30777.0,3.2491e-05,5.3959,17.415,27.528,46.917,67.583,1649.2,-0.034945,421.5,0.28873,liquid
300.0,3706.6,30786.0,3.2482e-05,5.3928,17.433,27.506,46.93,67.584,1650.2,-0.034948,422.15,0.28901,liquid
300.0,3713.9,30795.0,3.2473e-05,5.3898,17.45,27.484,46.943,67.585,1651.3,-0.034951,422.8,0.28929,liquid
300.0,3721.3,30804.0,3.2464e-05,5.3867,17.467,27.463,46.956,67.586,1652.4,-0.034955,423.45,0.28957,liquid
300.0,3728.6,30813.0,3.2454e-05,5.3837,17.485,27.441,46.969,67.587,1653.4,-0.034958,424.1,0.28986,liquid
300.0,3736.0,30821.0,3.2445e-05,5.3806,17.502,27.419,46.982,67.588,1654.5,-0.034961,424.76,0.29014,liquid
300.0,3743.3,30830.0,3.2436e-05,5.3776,17.519,27.398,46.995,67.589,1655.5,-0.034964,425.41,0.29042,liquid
300.0,3750.6,30839.0,3.2427e-05,5.3746,17.537,27.376,47.008,67.59,1656.6,-0.034967,426.06,0.29071,liquid
300.0,3758.0,30848.0,3.2417e-05,5.3716,17.554,27.355,47.021,67.591,1657.6,-0.03497,426.71,0.29099,liquid
300.0,3765.3,30856.0,3.2408e-05,5.3686,17.571,27.333,47.033,67.593,1658.6,-0.034973,427.37,0.29127,liquid
300.0,3772.7,30865.0,3.2399e-05,5.3656,17.589,27.312,47.046,67.594,1659.7,-0.034977,428.02,0.29155,liquid
300.0,3780.0,30874.0,3.239e-05,5.3626,17.606,27.29,47.059,67.595,1660.7,-0.03498,428.67,0.29183,liquid
300.0,3787.4,30882.0,3.2381e-05,5.3597,17.624,27.269,47.072,67.596,1661.8,-0.034982,429.33,0.29212,liquid
300.0,3794.7,30891.0,3.2372e-05,5.3567,17.641,27.247,47.085,67.597,1662.8,-0.034985,429.98,0.2924,liquid
300.0,3802.1,30900.0,3.2363e-05,5.3537,17.658,27.226,47.098,67.599,1663.8,-0.034988,430.63,0.29268,liquid
300.0,3809.4,30908.0,3.2354e-05,5.3508,17.676,27.205,47.111,67.6,1664.9,-0.034991,431.29,0.29296,liquid
300.0,3816.8,30917.0,3.2345e-05,5.3478,17.693,27.183,47.124,67.601,1665.9,-0.034994,431.94,0.29324,liquid
300.0,3824.1,30926.0,3.2336e-05,5.3449,17.71,27.162,47.136,67.602,1666.9,-0.034997,432.59,0.29352,liquid
300.0,3831.5,30934.0,3.2327e-05,5.342,17.728,27.141,47.149,67.604,1668.0,-0.035,433.25,0.29381,liquid
300.0,3838.8,30943.0,3.2318e-05,5.3391,17.745,27.12,47.162,67.605,1669.0,-0.035002,433.9,0.29409,liquid
300.0,3846.2,30952.0,3.2309e-05,5.3361,17.763,27.099,47.175,67.606,1670.0,-0.035005,434.56,0.29437,liquid
300.0,3853.5,30960.0,3.23e-05,5.3332,17.78,27.077,47.188,67.607,1671.0,-0.035008,435.21,0.29465,liquid
300.0,3860.9,30969.0,3.2291e-05,5.3303,17.797,27.056,47.2,67.609,1672.1,-0.03501,435.86,0.29493,liquid
300.0,3868.2,30977.0,3.2282e-05,5.3275,17.815,27.035,47.213,67.61,1673.1,-0.035013,436.52,0.29521,liquid
300.0,3875.6,30986.0,3.2273e-05,5.3246,17.832,27.014,47.226,67.612,1674.1,-0.035015,437.17,0.29549,liquid
300.0,3882.9,30994.0,3.2264e-05,5.3217,17.85,26.993,47.239,67.613,1675.1,-0.035018,437.83,0.29577,liquid
300.0,3890.3,31003.0,3.2255e-05,5.3188,17.867,26.972,47.251,67.614,1676.1,-0.03502,438.48,0.29605,liquid
300.0,3897.6,31011.0,3.2246e-05,5.316,17.884,26.951,47.264,67.616,1677.2,-0.035023,439.14,0.29633,liquid
300.0,3905.0,31020.0,3.2238e-05,5.3131,17.902,26.93,47.277,67.617,1678.2,-0.035025,439.79,0.29661,liquid
300.0,3912.3,31028.0,3.2229e-05,5.3103,17.919,26.909,47.29,67.619,1679.2,-0.035028,440.45,0.29689,liquid
300.0,3919.7,31037.0,3.222e-05,5.3075,17.937,26.888,47.302,67.62,1680.2,-0.03503,441.1,0.29717,liquid
300.0,3927.0,31045.0,3.2211e-05,5.3046,17.954,26.867,47.315,67.621,1681.2,-0.035032,441.76,0.29745,liquid
300.0,3934.4,31054.0,3.2202e-05,5.3018,17.971,26.846,47.328,67.623,1682.2,-0.035035,442.42,0.29773,liquid
300.0,3941.7,31062.0,3.2194e-05,5.299,17.989,26.826,47.34,67.624,1683.2,-0.035037,443.07,0.29801,liquid
300.0,3949.1,31070.0,3.2185e-05,5.2962,18.006,26.805,47.353,67.626,1684.2,-0.035039,443.73,0.29829,liquid
300.0,3956.4,31079.0,3.2176e-05,5.2934,18.024,26.784,47.366,67.627,1685.2,-0.035042,444.38,0.29857,liquid
300.0,3963.8,31087.0,3.2168e-05,5.2906,18.041,26.763,47.378,67.629,1686.3,-0.035044,445.04,0.29885,liquid
300.0,3971.1,31096.0,3.2159e-05,5.2878,18.058,26.743,47.391,67.63,1687.3,-0.035046,445.7,0.29913,liquid
300.0,3978.4,31104.0,3.215e-05,5.2851,18.076,26.722,47.404,67.632,1688.3,-0.035048,446.35,0.29941,liquid
300.0,3985.8,31112.0,3.2142e-05,5.2823,18.093,26.701,47.416,67.634,1689.3,-0.03505,447.01,0.29969,liquid
300.0,3993.1,31121.0,3.2133e-05,5.2795,18.111,26.681,47.429,67.635,1690.3,-0.035052,447.67,0.29997,liquid
300.0,4000.5,31129.0,3.2124e-05,5.2768,18.128,26.66,47.442,67.637,1691.2,-0.035054,448.32,0.30025,liquid
300.0,4007.8,31137.0,3.2116e-05,5.2741,18.146,26.639,47.454,67.638,1692.2,-0.035056,448.98,0.30053,liquid
300.0,4015.2,31146.0,3.2107e-05,5.2713,18.163,26.619,47.467,67.64,1693.2,-0.035058,449.64,0.30081,liquid
300.0,4022.5,31154.0,3.2099e-05,5.2686,18.18,26.598,47.479,67.642,1694.2,-0.03506,450.29,0.30109,liquid
300.0,4029.9,31162.0,3.209e-05,5.2659,18.198,26.578,47.492,67.643,1695.2,-0.035062,450.95,0.30137,liquid
300.0,4037.2,31170.0,3.2082e-05,5.2631,18.215,26.557,47.505,67.645,1696.2,-0.035064,451.61,0.30164,liquid
300.0,4044.6,31179.0,3.2073e-05,5.2604,18.233,26.537,47.517,67.646,1697.2,-0.035066,452.27,0.30192,liquid
300.0,4051.9,31187.0,3.2065e-05,5.2577,18.25,26.516,47.53,67.648,1698.2,-0.035068,452.93,0.3022,liquid
300.0,4059.3,31195.0,3.2056e-05,5.255,18.268,26.496,47.542,67.65,1699.2,-0.03507,453.58,0.30248,liquid
300.0,4066.6,31203.0,3.2048e-05,5.2524,18.285,26.475,47.555,67.652,1700.2,-0.035071,454.24,0.30276,liquid
300.0,4074.0,31212.0,3.2039e-05,5.2497,18.302,26.455,47.567,67.653,1701.1,-0.035073,454.9,0.30304,liquid
300.0,4081.3,31220.0,3.2031e-05,5.247,18.32,26.435,47.58,67.655,1702.1,-0.035075,455.56,0.30331,liquid
300.0,4088.7,31228.0,3.2023e-05,5.2443,18.337,26.414,47.592,67.657,1703.1,-0.035077,456.22,0.30359,liquid
300.0,4096.0,31236.0,3.2014e-05,5.2417,18.355,26.394,47.605,67.658,1704.1,-0.035078,456.88,0.30387,liquid
300.0,4103.4,31244.0,3.2006e-05,5.239,18.372,26.374,47.617,67.66,1705.1,-0.03508,457.53,0.30415,liquid
300.0,4110.7,31252.0,3.1997e-05,5.2364,18.39,26.354,47.63,67.662,1706.0,-0.035082,458.19,0.30443,liquid
300.0,4118.1,31261.0,3.1989e-05,5.2338,18.407,26.333,47.642,67.664,1707.0,-0.035083,458.85,0.3047,liquid
300.0,4125.4,31269.0,3.1981e-05,5.2311,18.425,26.313,47.655,67.665,1708.0,-0.035085,459.51,0.30498,liquid
300.0,4132.8,31277.0,3.1973e-05,5.2285,18.442,26.293,47.667,67.667,1709.0,-0.035086,460.17,0.30526,liquid
300.0,4140.1,31285.0,3.1964e-05,5.2259,18.459,26.273,47.68,67.669,1709.9,-0.035088,460.83,0.30554,liquid
300.0,4147.5,31293.0,3.1956e-05,5.2233,18.477,26.253,47.692,67.671,1710.9,-0.03509,461.49,0.30581,liquid
300.0,4154.8,31301.0,3.1948e-05,5.2207,18.494,26.233,47.705,67.673,1711.9,-0.035091,462.15,0.30609,liquid
300.0,4162.2,31309.0,3.1939e-05,5.2181,18.512,26.213,47.717,67.675,1712.8,-0.035092,462.81,0.30637,liquid
300.0,4169.5,31317.0,3.1931e-05,5.2155,18.529,26.193,47.73,67.676,1713.8,-0.035094,463.47,0.30664,liquid
300.0,4176.9,31325.0,3.1923e-05,5.2129,18.547,26.172,47.742,67.678,1714.8,-0.035095,464.13,0.30692,liquid
300.0,4184.2,31333.0,3.1915e-05,5.2103,18.564,26.152,47.754,67.68,1715.7,-0.035097,464.79,0.3072,liquid
300.0,4191.5,31341.0,3.1907e-05,5.2078,18.582,26.133,47.767,67.682,1716.7,-0.035098,465.45,0.30748,liquid
300.0,4198.9,31349.0,3.1898e-05,5.2052,18.599,26.113,47.779,67.684,1717.7,-0.035099,466.11,0.30775,liquid
300.0,4206.2,31357.0,3.189e-05,5.2027,18.617,26.093,47.792,67.686,1718.6,-0.035101,466.77,0.30803,liquid
300.0,4213.6,31365.0,3.1882e-05,5.2001,18.634,26.073,47.804,67.688,1719.6,-0.035102,467.43,0.30831,liquid
300.0,4220.9,31373.0,3.1874e-05,5.1976,18.651,26.053,47.816,67.69,1720.5,-0.035103,468.1,0.30858,liquid
300.0,4228.3,31381.0,3.1866e-05,5.195,18.669,26.033,47.829,67.692,1721.5,-0.035105,468.76,0.30886,liquid
300.0,4235.6,31389.0,3.1858e-05,5.1925,18.686,26.013,47.841,67.694,1722.4,-0.035106,469.42,0.30913,liquid
300.0,4243.0,31397.0,3.185e-05,5.19,18.704,25.993,47.853,67.695,1723.4,-0.035107,470.08,0.30941,liquid
300.0,4250.3,31405.0,3.1842e-05,5.1875,18.721,25.974,47.866,67.697,1724.3,-0.035108,470.74,0.30969,liquid
300.0,4257.7,31413.0,3.1834e-05,5.185,18.739,25.954,47.878,67.699,1725.3,-0.035109,471.4,0.30996,liquid
300.0,4265.0,31421.0,3.1826e-05,5.1825,18.756,25.934,47.89,67.701,1726.2,-0.03511,472.07,0.31024,liquid
300.0,4272.4,31429.0,3.1818e-05,5.18,18.774,25.914,47.903,67.703,1727.2,-0.035112,472.73,0.31052,liquid
300.0,4279.7,31437.0,3.181e-05,5.1775,18.791,25.895,47.915,67.705,1728.1,-0.035113,473.39,0.31079,liquid
300.0,4287.1,31445.0,3.1802e-05,5.175,18.809,25.875,47.927,67.707,1729.1,-0.035114,474.05,0.31107,liquid
300.0,4294.4,31453.0,3.1794e-05,5.1725,18.826,25.855,47.94,67.709,1730.0,-0.035115,474.72,0.31134,liquid
300.0,4301.8,31461.0,3.1786e-05,5.1701,18.844,25.836,47.952,67.711,1731.0,-0.035116,475.38,0.31162,liquid
300.0,4309.1,31469.0,3.1778e-05,5.1676,18.861,25.816,47.964,67.714,1731.9,-0.035117,476.04,0.31189,liquid
300.0,4316.5,31476.0,3.177e-05,5.1651,18.879,25.796,47.976,67.716,1732.9,-0.035118,476.7,0.31217,liquid
300.0,4323.8,31484.0,3.1762e-05,5.1627,18.896,25.777,47.989,67.718,1733.8,-0.035119,477.37,0.31244,liquid
300.0,4331.2,31492.0,3.1754e-05,5.1602,18.913,25.757,48.001,67.72,1734.7,-0.03512,478.03,0.31272,liquid
300.0,4338.5,31500.0,3.1746e-05,5.1578,18.931,25.738,48.013,67.722,1735.7,-0.03512,478.69,0.313,liquid
300.0,4345.9,31508.0,3.1738e-05,5.1554,18.948,25.718,48.025,67.724,1736.6,-0.035121,479.36,0.31327,liquid
300.0,4353.2,31515.0,3.173e-05,5.153,18.966,25.699,48.038,67.726,1737.6,-0.035122,480.02,0.31355,liquid
300.0,4360.6,31523.0,3.1723e-05,5.1505,18.983,25.679,48.05,67.728,1738.5,-0.035123,480.68,0.31382,liquid
300.0,4367.9,31531.0,3.1715e-05,5.1481,19.001,25.66,48.062,67.73,1739.4,-0.035124,481.35,0.3141,liquid
300.0,4375.3,31539.0,3.1707e-05,5.1457,19.018,25.641,48.074,67.732,1740.3,-0.035125,482.01,0.31437,liquid
300.0,4382.6,31547.0,3.1699e-05,5.1433,19.036,25.621,48.086,67.734,1741.3,-0.035125,482.68,0.31465,liquid
300.0,4390.0,31554.0,3.1691e-05,5.1409,19.053,25.602,48.099,67.737,1742.2,-0.035126,483.34,0.31492,liquid
300.0,4397.3,31562.0,3.1684e-05,5.1386,19.071,25.583,48.111,67.739,1743.1,-0.035127,484.01,0.31519,liquid
300.0,4404.7,31570.0,3.1676e-05,5.1362,19.088,25.563,48.123,67.741,1744.1,-0.035128,484.67,0.31547,liquid
300.0,4412.0,31578.0,3.1668e-05,5.1338,19.106,25.544,48.135,67.743,1745.0,-0.035128,485.34,0.31574,liquid
